member_id,risk_score,risk_level,risk_escalated,financial_risk,data_quality_risk,duplicate_risk,interest_risk,max_duplicate_similarity,flagged_duplicate_pair,anomaly_reasons,ensemble_score,anomaly_votes,state,mp_name,constituency,allocated_amount,benchmark_amount,deviation_from_benchmark_pct,paise_component,amount_missing,name_quality_score,risk_factors,recommended_actions,lofo_attribution
17,5.6,LOW,False,0.0,12.0,12.9,0.0,0.3237,False,[],0.0004,0,Uttar Pradesh,AJENDRA SINGH LODHI,HAMIRPUR_UP,147000000.0,147000000.0,0.0,0.0,False,0.75,[],['No investigative action indicated by current signals'],{}
18,3.0,LOW,False,0.0,12.0,0.0,0.0,0.0,False,[],0.0004,0,Uttar Pradesh,AKHILESH YADAV,KANNAUJ,147000000.0,147000000.0,0.0,0.0,False,0.75,[],['No investigative action indicated by current signals'],{}
19,3.0,LOW,False,0.0,12.0,0.0,0.0,0.0,False,[],0.0004,0,Uttar Pradesh,AKSHAYA YADAV,FIROZABAD,147000000.0,147000000.0,0.0,0.0,False,0.75,[],['No investigative action indicated by current signals'],{}
20,3.7,LOW,False,1.7,12.0,0.0,0.0,0.0,False,[],0.0284,0,Manipur,ALFRED KANNGAM S ARTHUR,OUTER MANIPUR(ST),147000000.0,147000000.0,0.0,0.0,False,0.75,[],['No investigative action indicated by current signals'],{}
21,0.3,LOW,False,0.8,0.0,0.0,0.0,0.0,False,[],0.0135,0,Bihar,Alok Kumar Suman,GOPALGANJ (SC),147000000.0,147000000.0,0.0,0.0,False,1.0,[],['No investigative action indicated by current signals'],{}
22,5.1,LOW,False,0.3,12.0,9.7,0.0,0.2436,False,[],0.0046,0,Madhya Pradesh,ALOK SHARMA,BHOPAL,147000000.0,147000000.0,0.0,0.0,False,0.75,[],['No investigative action indicated by current signals'],{}
23,3.0,LOW,False,0.1,12.0,0.0,0.0,0.0,False,[],0.0014,0,Maharashtra,AMAR SHARADRAO KALE,WARDHA,147000000.0,147000000.0,0.0,0.0,False,0.75,[],['No investigative action indicated by current signals'],{}
24,3.2,LOW,False,0.5,12.0,0.0,0.0,0.0,False,[],0.0083,0,Assam,AMARSING TISSO,Diphu (ST),147000000.0,147000000.0,0.0,0.0,False,0.75,[],['No investigative action indicated by current signals'],{}
25,36.3,MEDIUM,False,70.0,12.0,0.0,35.5,0.0,False,"['Allocation is 37% above the ₹14.7 cr full-entitlement benchmark', 'Non-round allocation (₹11.00 paise component) suggests interest-bearing balance accrual']",0.2709,1,Andhra Pradesh,AMBICA G LAKSHMINARAYANA VALMIKI,ANANTAPUR,201899064.11,147000000.0,37.34630211564627,11.0,False,0.75,"[{'factor': 'Allocation 37% above entitlement benchmark', 'contribution_points': 28.0, 'support': '₹20.19 cr vs benchmark ₹14.7 cr (1/3 methods agree)'}, {'factor': 'Non-round allocation (interest component)', 'contribution_points': 5.3, 'support': '₹11.00 paise part implies interest-bearing balance accrual'}]","['Review sanction ledger for carry-forward/unspent balances explaining the excess', 'Reconcile interest accrual on unspent balance with agency bank statements']","{'benchmark_ratio': 0.0142, 'log_amount': 0.0234, 'excess_over_benchmark_cr': 0.0378, 'shortfall_ratio': -0.0051, 'paise_component': -0.0109, 'state_deviation_pct': -0.0001, 'state_percentile': 0.0024, 'amount_missing_ind': 0.0222, 'name_quality_score': -0.0022}"
26,0.4,LOW,False,1.0,0.0,0.0,0.0,0.0,False,[],0.0159,0,Maharashtra,Amol Ramsing Kolhe,SHIRUR,147000000.0,147000000.0,0.0,0.0,False,1.0,[],['No investigative action indicated by current signals'],{}
27,27.8,MEDIUM,False,50.0,12.0,0.0,31.9,0.0,False,['Non-round allocation (₹11.00 paise component) suggests interest-bearing balance accrual'],0.1357,1,Rajasthan,AMRARAM,SIKAR,165691544.11,147000000.0,12.715336129251709,11.0,False,0.75,"[{'factor': 'Allocation 13% above entitlement benchmark', 'contribution_points': 20.0, 'support': '₹16.57 cr vs benchmark ₹14.7 cr (1/3 methods agree)'}, {'factor': 'Non-round allocation (interest component)', 'contribution_points': 4.8, 'support': '₹11.00 paise part implies interest-bearing balance accrual'}]",['Reconcile interest accrual on unspent balance with agency bank statements'],"{'benchmark_ratio': -0.0066, 'log_amount': -0.0002, 'excess_over_benchmark_cr': 0.0044, 'shortfall_ratio': -0.0094, 'paise_component': -0.045, 'state_deviation_pct': -0.0063, 'state_percentile': 0.0163, 'amount_missing_ind': 0.0038, 'name_quality_score': -0.0102}"
28,4.9,LOW,False,0.1,12.0,9.5,0.0,0.2371,False,[],0.0014,0,Punjab,AMRINDER SINGH RAJA WARRING,LUDHIANA,147000000.0,147000000.0,0.0,0.0,False,0.75,[],['No investigative action indicated by current signals'],{}
29,6.0,LOW,False,0.0,12.0,14.8,0.0,0.3693,False,[],0.0004,0,Uttar Pradesh,ANAND BHADAURIYA,DHAURAHRA,147000000.0,147000000.0,0.0,0.0,False,0.75,[],['No investigative action indicated by current signals'],{}
30,6.0,LOW,False,0.0,12.0,14.8,0.0,0.3693,False,[],0.0004,0,Uttar Pradesh,ANAND KUMAR,BAHRAICH(SC),147000000.0,147000000.0,0.0,0.0,False,0.75,[],['No investigative action indicated by current signals'],{}
31,3.3,LOW,False,0.8,12.0,0.0,0.0,0.0,False,[],0.0128,0,Odisha,ANANTA NAYAK,KEONJHAR(ST),147000000.0,147000000.0,0.0,0.0,False,0.75,[],['No investigative action indicated by current signals'],{}
32,0.8,LOW,False,2.0,0.0,0.0,0.0,0.0,False,[],0.0332,0,Tamil Nadu,Andimuthu Raja,NILGIRIS(SC),147000000.0,147000000.0,0.0,0.0,False,1.0,[],['No investigative action indicated by current signals'],{}
33,17.0,LOW,False,35.0,12.0,0.0,0.0,0.0,False,"['Allocation is 33% below the full-entitlement benchmark (possible pro-rated term — verify membership dates)', '3/3 anomaly methods agree (ensemble score 0.50)']",0.4954,3,Meghalaya,ANDREW J. SYNGKON,SHILLONG,98000000.0,147000000.0,-33.333333333333336,0.0,False,0.75,"[{'factor': 'Allocation 33% below entitlement benchmark', 'contribution_points': 14.0, 'support': '₹9.80 cr vs benchmark ₹14.7 cr (3/3 methods agree)'}]",['Verify membership start date (by-election / replaced member) to confirm pro-rating'],{}
34,3.7,LOW,False,1.7,12.0,0.0,0.0,0.0,False,[],0.0284,0,Manipur,ANGOMCHA BIMOL AKOIJAM,INNER MANIPUR,147000000.0,147000000.0,0.0,0.0,False,0.75,[],['No investigative action indicated by current signals'],{}
35,3.4,LOW,False,0.9,12.0,0.0,0.0,0.0,False,[],0.0148,0,Uttarakhand,ANIL BALUNI,GARHWAL,147000000.0,147000000.0,0.0,0.0,False,0.75,[],['No investigative action indicated by current signals'],{}
36,3.0,LOW,False,0.1,12.0,0.0,0.0,0.0,False,[],0.0014,0,Maharashtra,ANIL YESHWANT DESAI,MUMBAI SOUTH CENTRAL,147000000.0,147000000.0,0.0,0.0,False,0.75,[],['No investigative action indicated by current signals'],{}
37,3.1,LOW,False,0.3,12.0,0.0,0.0,0.0,False,[],0.0046,0,Madhya Pradesh,ANITA NAGARSINGH CHOUHAN,RATLAM(ST),147000000.0,147000000.0,0.0,0.0,False,0.75,[],['No investigative action indicated by current signals'],{}
38,3.3,LOW,False,0.8,12.0,0.0,0.0,0.0,False,[],0.0128,0,Odisha,ANITA SUBHADARSHINI,ASKA,147000000.0,147000000.0,0.0,0.0,False,0.75,[],['No investigative action indicated by current signals'],{}
39,24.8,LOW,False,50.0,0.0,0.0,32.0,0.0,False,['Non-round allocation (₹80.00 paise component) suggests interest-bearing balance accrual'],0.2137,1,Jharkhand,Annpurna Devi,KODARMA,166665931.8,147000000.0,13.378184897959189,80.0,False,1.0,"[{'factor': 'Allocation 13% above entitlement benchmark', 'contribution_points': 20.0, 'support': '₹16.67 cr vs benchmark ₹14.7 cr (1/3 methods agree)'}, {'factor': 'Non-round allocation (interest component)', 'contribution_points': 4.8, 'support': '₹80.00 paise part implies interest-bearing balance accrual'}]",['Reconcile interest accrual on unspent balance with agency bank statements'],"{'benchmark_ratio': -0.0678, 'log_amount': -0.068, 'excess_over_benchmark_cr': -0.0372, 'shortfall_ratio': -0.0279, 'paise_component': 0.1381, 'state_deviation_pct': -0.0811, 'state_percentile': -0.064, 'amount_missing_ind': -0.0417, 'name_quality_score': -0.0103}"
40,3.0,LOW,False,0.0,12.0,0.0,0.0,0.0,False,[],0.0004,0,Uttar Pradesh,ANOOP PRADHAN BALMIKI,HATHRAS (SC),147000000.0,147000000.0,0.0,0.0,False,0.75,[],['No investigative action indicated by current signals'],{}
41,0.4,LOW,False,1.0,0.0,0.0,0.0,0.0,False,[],0.0165,0,Kerala,Anto Antony,PATHANAMTHITTA,147000000.0,147000000.0,0.0,0.0,False,1.0,[],['No investigative action indicated by current signals'],{}
42,3.0,LOW,False,0.1,12.0,0.0,0.0,0.0,False,[],0.0014,0,Maharashtra,ANUP SANJAY DHOTRE,AKOLA,147000000.0,147000000.0,0.0,0.0,False,0.75,[],['No investigative action indicated by current signals'],{}
43,3.4,LOW,False,0.9,0.0,15.1,0.0,0.3775,False,[],0.0151,0,Uttar Pradesh,Anurag Sharma,JHANSI,147000000.0,147000000.0,0.0,0.0,False,1.0,[],['No investigative action indicated by current signals'],{}
44,9.7,LOW,False,8.1,0.0,9.6,30.3,0.2391,False,"['Non-round allocation (₹11.00 paise component) suggests interest-bearing balance accrual', '2/3 anomaly methods agree (ensemble score 0.14)']",0.135,2,Himachal Pradesh,Anurag Singh Thakur,HAMIRPUR_HP,149570117.11,147000000.0,1.748378986394572,11.0,False,1.0,"[{'factor': 'Non-round allocation (interest component)', 'contribution_points': 4.5, 'support': '₹11.00 paise part implies interest-bearing balance accrual'}]",['Reconcile interest accrual on unspent balance with agency bank statements'],{}
45,2.8,LOW,False,7.1,0.0,0.0,0.0,0.0,False,[],0.1182,1,Andhra Pradesh,Appalanaidu Kalisetti,VIZIANAGARAM,147000000.0,147000000.0,0.0,0.0,False,1.0,[],['No investigative action indicated by current signals'],{}
46,39.6,MEDIUM,False,70.0,12.0,16.7,34.8,0.4163,False,"['Allocation is 33% above the ₹14.7 cr full-entitlement benchmark', 'Non-round allocation (₹11.00 paise component) suggests interest-bearing balance accrual']",0.2428,1,Bihar,ARUN BHARTI,JAMUI(SC),194924621.11,147000000.0,32.60178306802721,11.0,False,0.75,"[{'factor': 'Allocation 33% above entitlement benchmark', 'contribution_points': 28.0, 'support': '₹19.49 cr vs benchmark ₹14.7 cr (1/3 methods agree)'}, {'factor': 'Non-round allocation (interest component)', 'contribution_points': 5.2, 'support': '₹11.00 paise part implies interest-bearing balance accrual'}]","['Review sanction ledger for carry-forward/unspent balances explaining the excess', 'Reconcile interest accrual on unspent balance with agency bank statements']","{'benchmark_ratio': -0.0017, 'log_amount': 0.0092, 'excess_over_benchmark_cr': 0.0288, 'shortfall_ratio': -0.0188, 'paise_component': -0.0191, 'state_deviation_pct': 0.0077, 'state_percentile': -0.0005, 'amount_missing_ind': 0.0091, 'name_quality_score': 0.0001}"
47,4.7,LOW,False,0.0,12.0,8.5,0.0,0.2129,False,[],0.0004,0,Uttar Pradesh,ARUN GOVIL,MEERUT,147000000.0,147000000.0,0.0,0.0,False,0.75,[],['No investigative action indicated by current signals'],{}
48,3.6,LOW,False,1.4,12.0,0.0,0.0,0.0,False,[],0.0238,0,Tamil Nadu,ARUN NEHRU,PERAMBALUR,147000000.0,147000000.0,0.0,0.0,False,0.75,[],['No investigative action indicated by current signals'],{}
49,3.2,LOW,False,0.5,12.0,0.0,0.0,0.0,False,[],0.0077,0,Telangana,ARUNA. D. K,MAHABUBNAGAR,147000000.0,147000000.0,0.0,0.0,False,0.75,[],['No investigative action indicated by current signals'],{}
50,3.0,LOW,False,0.0,12.0,0.0,0.0,0.0,False,[],0.0,0,West Bengal,ARUP CHAKRABORTY,BANKURA,147000000.0,147000000.0,0.0,0.0,False,0.75,[],['No investigative action indicated by current signals'],{}
51,42.5,MEDIUM,False,90.0,0.0,0.0,43.4,0.0,False,"['Allocation is 91% above the ₹14.7 cr full-entitlement benchmark', 'Non-round allocation (₹11.00 paise component) suggests interest-bearing balance accrual', '2/3 anomaly methods agree (ensemble score 0.55)']",0.5466,2,Telangana,Arvind Dharmapuri,NIZAMABAD,281396355.11,147000000.0,91.42609191156464,11.0,False,1.0,"[{'factor': 'Allocation 91% above entitlement benchmark', 'contribution_points': 36.0, 'support': '₹28.14 cr vs benchmark ₹14.7 cr (2/3 methods agree)'}, {'factor': 'Non-round allocation (interest component)', 'contribution_points': 6.5, 'support': '₹11.00 paise part implies interest-bearing balance accrual'}]","['Review sanction ledger for carry-forward/unspent balances explaining the excess', 'Reconcile interest accrual on unspent balance with agency bank statements']","{'benchmark_ratio': -0.0021, 'log_amount': 0.006, 'excess_over_benchmark_cr': 0.047, 'shortfall_ratio': -0.0071, 'paise_component': -0.0308, 'state_deviation_pct': -0.0089, 'state_percentile': 0.0178, 'amount_missing_ind': 0.0027, 'name_quality_score': 0.0144}"
52,0.4,LOW,False,1.0,0.0,0.0,0.0,0.0,False,[],0.0159,0,Maharashtra,Arvind Ganpat Sawant,MUMBAI SOUTH,147000000.0,147000000.0,0.0,0.0,False,1.0,[],['No investigative action indicated by current signals'],{}
53,0.5,LOW,False,1.3,0.0,0.0,0.0,0.0,False,[],0.021,0,Telangana,Asaduddin Owaisi,HYDERABAD,147000000.0,147000000.0,0.0,0.0,False,1.0,[],['No investigative action indicated by current signals'],{}
54,5.0,LOW,False,0.3,12.0,9.2,0.0,0.2288,False,[],0.0046,0,Madhya Pradesh,ASHISH DUBEY,JABALPUR,147000000.0,147000000.0,0.0,0.0,False,0.75,[],['No investigative action indicated by current signals'],{}
55,3.1,LOW,False,0.9,0.0,13.8,0.0,0.3448,False,[],0.0151,0,Uttar Pradesh,Ashok Kumar Rawat,MISRIKH(SC),147000000.0,147000000.0,0.0,0.0,False,1.0,[],['No investigative action indicated by current signals'],{}
56,3.1,LOW,False,0.8,0.0,13.8,0.0,0.3448,False,[],0.0135,0,Bihar,Ashok Kumar Yadav,MADHUBANI,147000000.0,147000000.0,0.0,0.0,False,1.0,[],['No investigative action indicated by current signals'],{}
57,42.4,MEDIUM,False,90.0,0.0,0.0,42.9,0.0,False,"['Allocation is 88% above the ₹14.7 cr full-entitlement benchmark', 'Non-round allocation (₹74.00 paise component) suggests interest-bearing balance accrual', '2/3 anomaly methods agree (ensemble score 0.54)']",0.5407,2,West Bengal,Asit Kumar Mal,BOLPUR(SC),275694456.74,147000000.0,87.5472494829932,74.0,False,1.0,"[{'factor': 'Allocation 88% above entitlement benchmark', 'contribution_points': 36.0, 'support': '₹27.57 cr vs benchmark ₹14.7 cr (2/3 methods agree)'}, {'factor': 'Non-round allocation (interest component)', 'contribution_points': 6.4, 'support': '₹74.00 paise part implies interest-bearing balance accrual'}]","['Review sanction ledger for carry-forward/unspent balances explaining the excess', 'Reconcile interest accrual on unspent balance with agency bank statements']","{'benchmark_ratio': -0.0162, 'log_amount': -0.0101, 'excess_over_benchmark_cr': 0.0359, 'shortfall_ratio': -0.0081, 'paise_component': 0.0241, 'state_deviation_pct': -0.0154, 'state_percentile': -0.0093, 'amount_missing_ind': -0.0147, 'name_quality_score': 0.0086}"
58,15.0,LOW,False,30.0,12.0,0.0,0.0,0.0,False,[],0.1083,1,Uttar Pradesh,ATUL GARG,GHAZIABAD,155336470.0,147000000.0,5.67106802721089,0.0,False,0.75,"[{'factor': 'Allocation 6% above entitlement benchmark', 'contribution_points': 12.0, 'support': '₹15.53 cr vs benchmark ₹14.7 cr (1/3 methods agree)'}]",['No investigative action indicated by current signals'],{}
59,3.3,LOW,False,0.8,12.0,0.0,0.0,0.0,False,[],0.0128,0,Odisha,AVIMANYU SETHI,BHADRAK(SC),147000000.0,147000000.0,0.0,0.0,False,0.75,[],['No investigative action indicated by current signals'],{}
60,3.0,LOW,False,0.0,12.0,0.0,0.0,0.0,False,[],0.0004,0,Uttar Pradesh,AWADHESH PRASAD,FAIZABAD,147000000.0,147000000.0,0.0,0.0,False,0.75,[],['No investigative action indicated by current signals'],{}
61,28.0,MEDIUM,False,50.0,12.0,0.0,33.3,0.0,False,"['Non-round allocation (₹98.00 paise component) suggests interest-bearing balance accrual', '2/3 anomaly methods agree (ensemble score 0.26)']",0.2588,2,West Bengal,AZAD KIRTI JHA,BARDHAMAN-DURGAPUR,179658399.98,147000000.0,22.216598625850324,98.0,False,0.75,"[{'factor': 'Allocation 22% above entitlement benchmark', 'contribution_points': 20.0, 'support': '₹17.97 cr vs benchmark ₹14.7 cr (2/3 methods agree)'}, {'factor': 'Non-round allocation (interest component)', 'contribution_points': 5.0, 'support': '₹98.00 paise part implies interest-bearing balance accrual'}]",['Reconcile interest accrual on unspent balance with agency bank statements'],"{'benchmark_ratio': -0.0596, 'log_amount': -0.0479, 'excess_over_benchmark_cr': -0.0306, 'shortfall_ratio': -0.0382, 'paise_component': 0.1628, 'state_deviation_pct': -0.0719, 'state_percentile': -0.0565, 'amount_missing_ind': -0.0288, 'name_quality_score': -0.0341}"
62,19.7,LOW,False,30.0,12.0,0.0,31.3,0.0,False,['Non-round allocation (₹11.00 paise component) suggests interest-bearing balance accrual'],0.1321,1,Andhra Pradesh,B K PARTHASARATHI,HINDUPUR,160491894.11,147000000.0,9.178159258503404,11.0,False,0.75,"[{'factor': 'Allocation 9% above entitlement benchmark', 'contribution_points': 12.0, 'support': '₹16.05 cr vs benchmark ₹14.7 cr (1/3 methods agree)'}, {'factor': 'Non-round allocation (interest component)', 'contribution_points': 4.7, 'support': '₹11.00 paise part implies interest-bearing balance accrual'}]",['Reconcile interest accrual on unspent balance with agency bank statements'],{}
63,4.8,LOW,False,0.0,12.0,9.1,0.0,0.2287,False,[],0.0004,0,Uttar Pradesh,BABU SINGH KUSHWAHA,JAUNPUR,147000000.0,147000000.0,0.0,0.0,False,0.75,[],['No investigative action indicated by current signals'],{}
64,3.0,LOW,False,0.1,12.0,0.0,0.0,0.0,False,[],0.0014,0,Maharashtra,BACHHAV SHOBHA DINESH,DHULE,147000000.0,147000000.0,0.0,0.0,False,0.75,[],['No investigative action indicated by current signals'],{}
65,3.0,LOW,False,0.0,12.0,0.0,0.0,0.0,False,[],0.0,0,West Bengal,BAG MITALI,ARAMBAG(SC),147000000.0,147000000.0,0.0,0.0,False,0.75,[],['No investigative action indicated by current signals'],{}
66,3.3,LOW,False,0.8,12.0,0.0,0.0,0.0,False,[],0.0128,0,Odisha,BAIJAYANT PANDA,KENDRAPARA,147000000.0,147000000.0,0.0,0.0,False,0.75,[],['No investigative action indicated by current signals'],{}
67,29.5,MEDIUM,False,50.0,12.0,8.5,31.9,0.2136,False,['Non-round allocation (₹19.00 paise component) suggests interest-bearing balance accrual'],0.1578,1,Maharashtra,BAJRANG MANOHAR SONWANE,BEED,165899107.19,147000000.0,12.856535503401357,19.0,False,0.75,"[{'factor': 'Allocation 13% above entitlement benchmark', 'contribution_points': 20.0, 'support': '₹16.59 cr vs benchmark ₹14.7 cr (1/3 methods agree)'}, {'factor': 'Non-round allocation (interest component)', 'contribution_points': 4.8, 'support': '₹19.00 paise part implies interest-bearing balance accrual'}]",['Reconcile interest accrual on unspent balance with agency bank statements'],"{'benchmark_ratio': 0.0082, 'log_amount': 0.0127, 'excess_over_benchmark_cr': 0.0194, 'shortfall_ratio': 0.0129, 'paise_component': 0.014, 'state_deviation_pct': -0.0022, 'state_percentile': 0.0153, 'amount_missing_ind': 0.0146, 'name_quality_score': -0.0005}"
68,10.8,LOW,False,3.9,12.0,8.7,30.0,0.2167,False,['Non-round allocation (₹11.00 paise component) suggests interest-bearing balance accrual'],0.0653,1,Odisha,BALABHADRA MAJHI,NABARANGPUR(ST),147413962.11,147000000.0,0.28160687755103275,11.0,False,0.75,"[{'factor': 'Non-round allocation (interest component)', 'contribution_points': 4.5, 'support': '₹11.00 paise part implies interest-bearing balance accrual'}]",['Reconcile interest accrual on unspent balance with agency bank statements'],{}
69,2.8,LOW,False,7.1,0.0,0.0,0.0,0.0,False,[],0.1182,1,Andhra Pradesh,Balashowry Vallabbhaneni,MACHILIPATNAM,147000000.0,147000000.0,0.0,0.0,False,1.0,[],['No investigative action indicated by current signals'],{}
70,3.2,LOW,False,0.5,12.0,0.0,0.0,0.0,False,[],0.0077,0,Telangana,BALRAM NAIK PORIKA,MAHABUBABAD,147000000.0,147000000.0,0.0,0.0,False,0.75,[],['No investigative action indicated by current signals'],{}
