member_id_a,member_id_b,mp_name_a,mp_name_b,state_a,state_b,constituency_a,constituency_b,name_similarity,constituency_similarity,same_state,overall_similarity,potential_duplicate,duplicate_reason
157,205,RAJESH MISHRA,Janardan Mishra,Madhya Pradesh,Madhya Pradesh,SIDHI,REWA,0.4154,0.0,True,0.3992,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (same state; name similarity 0.42)
143,369,RAJKUMAR SANGWAN,Rajkumar Chahar,Uttar Pradesh,Uttar Pradesh,BAGHPAT,FATEHPUR SIKRI,0.4091,0.0,True,0.3955,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (same state; name similarity 0.41)
351,435,RACHNA BANERJEE,Abhishek Banerjee,West Bengal,West Bengal,HOOGHLY,DIAMOND HARBOUR,0.4056,0.0,True,0.3934,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (same state; name similarity 0.41)
43,270,Anurag Sharma,Mahesh Sharma,Uttar Pradesh,Uttar Pradesh,JHANSI,GAUTAM BUDDHA NAGAR,0.3791,0.0,True,0.3775,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (same state; name similarity 0.38)
83,302,BHASKAR MURLIDHAR BHAGARE,MURLIDHAR MOHOL,Maharashtra,Maharashtra,DINDORI,PUNE,0.3737,0.0,True,0.3742,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (same state; name similarity 0.37)
447,519,Hanuman Beniwal,UMMEDA RAM BENIWAL,Rajasthan,Rajasthan,NAGAUR,BARMER,0.3669,0.0,True,0.3701,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (same state; name similarity 0.37)
29,30,ANAND BHADAURIYA,ANAND KUMAR,Uttar Pradesh,Uttar Pradesh,DHAURAHRA,BAHRAICH,0.3654,0.0,True,0.3693,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (same state; name similarity 0.37)
342,347,PRIYA SAROJ,PUSHPENDRA SAROJ,Uttar Pradesh,Uttar Pradesh,MACHHLISHAHR,KAUSHAMBI,0.3649,0.0,True,0.369,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (same state; name similarity 0.36)
159,201,SHARMILA SARKAR,Jagannath Sarkar,West Bengal,West Bengal,BARDHAMAN PURBA,RANAGHAT,0.3544,0.0,True,0.3626,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (same state; name similarity 0.35)
14,16,Ajay Bhatt,Ajay Tamta,Uttarakhand,Uttarakhand,NAINITAL UDHAM SINGH NAG.,ALMORA,0.3522,0.0,True,0.3613,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (same state; name similarity 0.35)
55,56,Ashok Kumar Rawat,Ashok Kumar Yadav,Uttar Pradesh,Bihar,MISRIKH,MADHUBANI,0.5747,0.0,False,0.3448,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.57)
533,534,Virendra Kumar,VIRENDRA SINGH,Madhya Pradesh,Uttar Pradesh,TIKAMGARH,CHANDAULI,0.5616,0.0,False,0.337,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.56)
154,331,PRADEEP KUMAR PANIGRAHY,Pradeep Kumar Singh,Odisha,Bihar,BERHAMPUR,ARARIA,0.5516,0.0,False,0.3309,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.55)
104,444,Chandra Prakash Joshi,Chandra Prakash Choudhary,Rajasthan,Jharkhand,CHITTORGARH,GIRIDIH,0.5505,0.0,False,0.3303,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.55)
17,357,AJENDRA SINGH LODHI,RAHUL SINGH LODHI,Uttar Pradesh,Madhya Pradesh,HAMIRPUR (UP),DAMOH,0.5394,0.0,False,0.3237,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.54)
173,174,Gajendra Singh Patel,Gajendra Singh Shekhawat,Madhya Pradesh,Rajasthan,KHARGONE,JODHPUR,0.5296,0.0,False,0.3178,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.53)
349,459,R.K. CHAUDHARY,PP Chaudhary,Uttar Pradesh,Rajasthan,MOHANLALGANJ,PALI,0.5151,0.0,False,0.3091,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.52)
204,217,Jai Prakash,K E PRAKASH,Uttar Pradesh,Tamil Nadu,HARDOI,ERODE,0.5123,0.0,False,0.3074,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.51)
129,130,DHARMENDRA PRADHAN,DHARMENDRA YADAV,Odisha,Uttar Pradesh,SAMBALPUR,AZAMGARH,0.5026,0.0,False,0.3016,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.50)
528,529,Vijay Kumar Dubey,Vijay Kumar Hansdak,Uttar Pradesh,Jharkhand,KUSHI NAGAR,RAJMAHAL,0.482,0.0,False,0.2892,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.48)
504,505,Suresh Kumar Kashyap,SURESH KUMAR SHETKAR,Himachal Pradesh,Telangana,SHIMLA,ZAHIRABAD,0.4806,0.0,False,0.2883,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.48)
279,407,MANISH JAISWAL,Sanjay Jaiswal,Jharkhand,Bihar,HAZARIBAGH,PASCHIM CHAMPARAN,0.4759,0.0,False,0.2855,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.48)
375,459,RAM PRASAD CHAUDHARY,PP Chaudhary,Uttar Pradesh,Rajasthan,BASTI,PALI,0.4675,0.0,False,0.2805,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.47)
499,501,SUNIL BOSE,Sunil Kumar,Karnataka,Bihar,CHAMARAJANAGAR,VALMIKI NAGAR,0.462,0.0,False,0.2772,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.46)
8,204,Adoor Prakash,Jai Prakash,Kerala,Uttar Pradesh,ATTINGAL,HARDOI,0.4488,0.0,False,0.2693,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.45)
346,527,SP Singh Baghel,Vijay Baghel,Uttar Pradesh,Chhattisgarh,AGRA,DURG,0.4457,0.0,False,0.2674,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.45)
8,217,Adoor Prakash,K E PRAKASH,Kerala,Tamil Nadu,ATTINGAL,ERODE,0.4364,0.0,False,0.2618,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.44)
284,285,MANOJ KUMAR,MANOJ TIGGA,Bihar,West Bengal,SASARAM,ALIPURDUARS,0.4308,0.0,False,0.2585,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.43)
362,363,RAJEEV BHARDWAJ,RAJEEV RAI,Himachal Pradesh,Uttar Pradesh,KANGRA,GHOSI,0.4299,0.0,False,0.258,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.43)
269,504,MAHESH KASHYAP,Suresh Kumar Kashyap,Chhattisgarh,Himachal Pradesh,BASTAR,SHIMLA,0.4287,0.0,False,0.2572,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.43)
233,234,KAMLESH JANGDE,Kamlesh Paswan,Chhattisgarh,Uttar Pradesh,JANJGIR CHAMPA,BANSGAON,0.4286,0.0,False,0.2571,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.43)
284,286,MANOJ KUMAR,Manoj Tiwari,Bihar,Delhi,SASARAM,NORTH EAST DELHI,0.4278,0.0,False,0.2567,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.43)
218,353,K RADHAKRISHNAN,RADHAKRISHNA,Kerala,Karnataka,ALATHUR,GULBARGA,0.4267,0.0,False,0.256,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.43)
209,210,JITENDRA KUMAR DOHARE,Jitendra Singh,Uttar Pradesh,Jammu And Kashmir,ETAWAH,UDHAMPUR,0.4254,0.0,False,0.2552,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.43)
340,341,Praveen Khandelwal,PRAVEEN PATEL,Delhi,Uttar Pradesh,CHANDINI CHOWK,PHULPUR,0.422,0.0,False,0.2532,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.42)
46,82,ARUN BHARTI,BHARTI PARDHI,Bihar,Madhya Pradesh,JAMUI,BALAGHAT,0.4204,0.0,False,0.2522,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.42)
77,349,Bhagirath Chaudhary,R.K. CHAUDHARY,Rajasthan,Uttar Pradesh,AJMER,MOHANLALGANJ,0.4154,0.0,False,0.2492,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.42)
385,386,Rao Inderjit Singh,Rao Rajendra Singh,Haryana,Rajasthan,GURGAON,JAIPUR RURAL,0.4139,0.0,False,0.2483,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.41)
258,365,LALJI VERMA,RAJESH VERMA,Uttar Pradesh,Bihar,AMBEDKAR NAGAR,KHAGARIA,0.4102,0.0,False,0.2461,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.41)
404,412,SANATAN PANDEY,Santosh Pandey,Uttar Pradesh,Chhattisgarh,BALLIA,RAJNANDGAON,0.4073,0.0,False,0.2444,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.41)
22,281,ALOK SHARMA,MANJU SHARMA,Madhya Pradesh,Rajasthan,BHOPAL,JAIPUR,0.406,0.0,False,0.2436,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.41)
270,281,Mahesh Sharma,MANJU SHARMA,Uttar Pradesh,Rajasthan,GAUTAM BUDDHA NAGAR,JAIPUR,0.4055,0.0,False,0.2433,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.41)
22,270,ALOK SHARMA,Mahesh Sharma,Madhya Pradesh,Uttar Pradesh,BHOPAL,GAUTAM BUDDHA NAGAR,0.405,0.0,False,0.243,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.41)
156,359,RAJ KUMAR CHABBEWAL,RAJ KUMAR ROAT,Punjab,Rajasthan,HOSHIARPUR,BANSWARA,0.405,0.0,False,0.243,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.41)
82,290,BHARTI PARDHI,MISHA BHARTI,Madhya Pradesh,Bihar,BALAGHAT,PATALIPUTRA,0.4013,0.0,False,0.2408,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.40)
355,356,RAHUL GANDHI,Rahul Kaswan,Uttar Pradesh,Rajasthan,RAE BARELI,CHURU,0.3991,0.0,False,0.2395,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.40)
43,44,Anurag Sharma,Anurag Singh Thakur,Uttar Pradesh,Himachal Pradesh,JHANSI,HAMIRPUR (HP),0.3986,0.0,False,0.2391,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.40)
203,204,JAI PARKASH,Jai Prakash,Haryana,Uttar Pradesh,HISAR,HARDOI,0.3968,0.0,False,0.2381,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.40)
28,360,AMRINDER SINGH RAJA WARRING,RAJA RAM SINGH,Punjab,Bihar,LUDHIANA,KARAKAT,0.3951,0.0,False,0.2371,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.40)
197,358,IQRA CHOUDHARY,RAJ BHUSHAN CHOUDHARY,Uttar Pradesh,Bihar,KAIRANA,MUZAFFARPUR,0.3934,0.0,False,0.236,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.39)
113,234,CHIRAG PASWAN,Kamlesh Paswan,Bihar,Uttar Pradesh,HAJIPUR,BANSGAON,0.3928,0.0,False,0.2357,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.39)
197,444,IQRA CHOUDHARY,Chandra Prakash Choudhary,Uttar Pradesh,Jharkhand,KAIRANA,GIRIDIH,0.3925,0.0,False,0.2355,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.39)
30,261,ANAND KUMAR,LOVELY ANAND,Uttar Pradesh,Bihar,BAHRAICH,SHEOHAR,0.3903,0.0,False,0.2342,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.39)
197,394,IQRA CHOUDHARY,ROOP KUMARI CHOUDHARY,Uttar Pradesh,Chhattisgarh,KAIRANA,MAHASAMUND,0.3892,0.0,False,0.2335,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.39)
104,217,Chandra Prakash Joshi,K E PRAKASH,Rajasthan,Tamil Nadu,CHITTORGARH,ERODE,0.3868,0.0,False,0.2321,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.39)
157,365,RAJESH MISHRA,RAJESH VERMA,Madhya Pradesh,Bihar,SIDHI,KHAGARIA,0.3863,0.0,False,0.2318,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.39)
22,43,ALOK SHARMA,Anurag Sharma,Madhya Pradesh,Uttar Pradesh,BHOPAL,JHANSI,0.3861,0.0,False,0.2317,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.39)
285,286,MANOJ TIGGA,Manoj Tiwari,West Bengal,Delhi,ALIPURDUARS,NORTH EAST DELHI,0.3858,0.0,False,0.2315,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.39)
331,332,Pradeep Kumar Singh,PRADEEP PUROHIT,Bihar,Odisha,ARARIA,BARGARH,0.3852,0.0,False,0.2311,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.39)
407,409,Sanjay Jaiswal,Sanjay Seth,Bihar,Jharkhand,PASCHIM CHAMPARAN,RANCHI,0.3833,0.0,False,0.23,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.38)
355,357,RAHUL GANDHI,RAHUL SINGH LODHI,Uttar Pradesh,Madhya Pradesh,RAE BARELI,DAMOH,0.3822,0.0,False,0.2293,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.38)
54,313,ASHISH DUBEY,Nishikant Dubey,Madhya Pradesh,Jharkhand,JABALPUR,GODDA,0.3813,0.0,False,0.2288,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.38)
63,79,BABU SINGH KUSHWAHA,BHARAT SINGH KUSHWAH,Uttar Pradesh,Madhya Pradesh,JAUNPUR,GWALIOR,0.3812,0.0,False,0.2287,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.38)
463,539,Shantanu Thakur,VIVEK THAKUR,West Bengal,Bihar,BANGAON,NAWADA,0.3774,0.0,False,0.2265,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.38)
121,358,DARSHAN SINGH CHOUDHARY,RAJ BHUSHAN CHOUDHARY,Madhya Pradesh,Bihar,HOSHANGABAD,MUZAFFARPUR,0.3772,0.0,False,0.2263,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.38)
139,355,DHARAMVIRA GANDHI,RAHUL GANDHI,Punjab,Uttar Pradesh,PATIALA,RAE BARELI,0.376,0.0,False,0.2256,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.38)
158,436,S P SINGH,Amar Singh,Uttar Pradesh,Punjab,PRATAPGARH,FATEHGARH SAHIB,0.376,0.0,False,0.2256,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.38)
318,352,P C Mohan,Radha Mohan Singh,Karnataka,Bihar,BANGALORE CENTRAL,PURVI CHAMPARAN,0.3752,0.0,False,0.2251,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.38)
418,539,SAVITRI THAKUR,VIVEK THAKUR,Madhya Pradesh,Bihar,DHAR,NAWADA,0.3736,0.0,False,0.2241,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.37)
205,449,Janardan Mishra,Janardan Singh Sigriwal,Madhya Pradesh,Bihar,REWA,MAHARAJGANJ (BR),0.3729,0.0,False,0.2237,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.37)
279,280,MANISH JAISWAL,MANISH TEWARI,Jharkhand,Chandigarh,HAZARIBAGH,CHANDIGARH,0.3709,0.0,False,0.2226,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.37)
77,375,Bhagirath Chaudhary,RAM PRASAD CHAUDHARY,Rajasthan,Uttar Pradesh,AJMER,BASTI,0.3695,0.0,False,0.2217,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.37)
173,386,Gajendra Singh Patel,Rao Rajendra Singh,Madhya Pradesh,Rajasthan,KHARGONE,JAIPUR RURAL,0.3694,0.0,False,0.2216,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.37)
198,326,ISHA KHAN CHOUDHURY,PHANI BHUSAN CHOUDHURY,West Bengal,Assam,MALDAHA DAKSHIN,BARPETA,0.3637,0.0,False,0.2182,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.36)
68,212,BALABHADRA MAJHI,JOBA MAJHI,Odisha,Jharkhand,NABARANGPUR,SINGHBHUM,0.3612,0.0,False,0.2167,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.36)
531,532,Vinod Chavda,VINOD KUMAR BIND,Gujarat,Uttar Pradesh,KACHCHH,BHADOHI,0.3603,0.0,False,0.2162,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.36)
17,386,AJENDRA SINGH LODHI,Rao Rajendra Singh,Uttar Pradesh,Rajasthan,HAMIRPUR (UP),JAIPUR RURAL,0.3592,0.0,False,0.2155,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.36)
212,303,JOBA MAJHI,NABA CHARAN MAJHI,Jharkhand,Odisha,SINGHBHUM,MAYURBHANJ,0.359,0.0,False,0.2154,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.36)
210,534,Jitendra Singh,VIRENDRA SINGH,Jammu And Kashmir,Uttar Pradesh,UDHAMPUR,CHANDAULI,0.358,0.0,False,0.2148,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.36)
98,188,C R Patil,Gyaneshwar Patil,Gujarat,Madhya Pradesh,NAVSARI,KHANDWA,0.3567,0.0,False,0.214,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.36)
67,283,BAJRANG MANOHAR SONWANE,MANOHAR LAL,Maharashtra,Haryana,BEED,KARNAL,0.356,0.0,False,0.2136,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.36)
46,47,ARUN BHARTI,ARUN GOVIL,Bihar,Uttar Pradesh,JAMUI,MEERUT,0.3548,0.0,False,0.2129,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.35)
98,405,C R Patil,SANJAY DINA PATIL,Gujarat,Maharashtra,NAVSARI,MUMBAI NORTH EAST,0.3547,0.0,False,0.2128,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.35)
54,528,ASHISH DUBEY,Vijay Kumar Dubey,Madhya Pradesh,Uttar Pradesh,JABALPUR,KUSHI NAGAR,0.3541,0.0,False,0.2125,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.35)
249,538,KONDA VISHWESHWAR REDDY,VISHWESHWAR HEGDE KAGERI,Telangana,Karnataka,CHELVELLA,UTTARA KANNADA,0.3536,0.0,False,0.2122,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.35)
418,463,SAVITRI THAKUR,Shantanu Thakur,Madhya Pradesh,West Bengal,DHAR,BANGAON,0.352,0.0,False,0.2112,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.35)
105,138,CHANDRA SHEKHAR,Chandra Sekhar Pemmasani,Uttar Pradesh,Andhra Pradesh,NAGINA,GUNTUR,0.3517,0.0,False,0.211,False,POTENTIAL DUPLICATE — REQUIRES VERIFICATION (name similarity 0.35)
